market_role,normalized_title,broad_area,mapping_type,catalogue_origin,source,review_status,notes
Software Engineer,staff software engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Staff is a company-internal grade above senior
Software Engineer,principal software engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Reviewed individually; principal is never stripped automatically
Software Engineer,lead developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Reviewed individually; lead is never stripped automatically
Frontend Developer,frontend developer,Software & Applications,exact,MARKET_DERIVED,LEGACY,APPROVED,
Frontend Developer,frontend engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Frontend Developer,frontend software engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Frontend Developer,frontend web developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Frontend Developer,user interface developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Backend Developer,backend developer,Software & Applications,exact,MARKET_DERIVED,LEGACY,APPROVED,
Backend Developer,backend engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Backend Developer,backend software engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Backend Developer,backend php developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Backend Developer,backend developer lead,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Reviewed individually; lead is never stripped automatically
Backend Developer,server side developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Full Stack Developer,full stack developer,Software & Applications,exact,MARKET_DERIVED,LEGACY,APPROVED,
Full Stack Developer,full stack engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Full Stack Developer,full stack software engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Full Stack Developer,full stack web developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Full Stack Developer,artificial intelligence forward full stack developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,AI-Forward is employer branding on a full stack post
Web Developer,web developer,Software & Applications,exact,MARKET_DERIVED,LEGACY,APPROVED,
Web Developer,php web developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Web Developer,e commerce web developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Web Developer,website developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Mobile Developer,mobile developer,Software & Applications,exact,MARKET_DERIVED,LEGACY,APPROVED,
Mobile Developer,mobile application developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Mobile Developer,mobile app software developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Mobile Developer,android developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Mobile Developer,ios developer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,quality assurance engineer,Software & Applications,exact,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,software test engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,test engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,quality assurance test engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,quality assurance tester,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,quality assurance analyst,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,software quality assurance,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,software quality assurance specialist,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,software quality assurance tester,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,software quality engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,mobile quality assurance engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,software mobile web application quality assurance tester,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,amd firmware test engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Firmware validation; the function is software testing
QA / Software Test Engineer,functional tester banking,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,automation test engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
QA / Software Test Engineer,software tester,Software & Applications,reviewed_alias,MARKET_DERIVED,MALAYSIA_TITLE_REVIEW,APPROVED,"The role name is literally Software Test Engineer; ""software test engineer"" and ""quality assurance tester"" already map here"
QA / Software Test Engineer,automation tester,Software & Applications,reviewed_alias,MARKET_DERIVED,MALAYSIA_TITLE_REVIEW,APPROVED,"""automation test engineer"" already maps here; the adverts are Playwright and Selenium suites"
Data Analyst,data analyst,Data & AI,exact,MARKET_DERIVED,LEGACY,APPROVED,
Data Analyst,business data analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Analyst,business and data analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Analyst,marketing data analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Analyst,data analyst mobile game,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Analyst,pricing and data analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Analyst,data analytics analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Business Analyst,business analyst,Data & AI,exact,MARKET_DERIVED,LEGACY,APPROVED,
Business Analyst,information technology business analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,The IT prefix names the domain and not a different function
Business Analyst,digital business analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Business Analyst,software business analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Business Analyst,business analyst banking,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Business Analyst,business analyst and client support,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Business Analyst,oracle cloud business analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Business Analyst,low code business analyst i i,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Low Code Business Analyst I/II
Business Analyst,functional business analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Engineer,data engineer,Data & AI,exact,MARKET_DERIVED,LEGACY,APPROVED,
Data Engineer,artificial intelligence data engineer,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Engineer,etl developer,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Engineer,big data engineer,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Engineer,data platform engineer,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Scientist,data scientist,Data & AI,exact,MARKET_DERIVED,LEGACY,APPROVED,
Data Scientist,machine learning scientist,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
AI / ML Engineer,artificial intelligence engineer,Data & AI,exact,MARKET_DERIVED,LEGACY,APPROVED,
AI / ML Engineer,machine learning engineer,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
AI / ML Engineer,artificial intelligence machine learning engineer,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
AI / ML Engineer,artificial intelligence software engineer,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
AI / ML Engineer,artificial intelligence developer,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
AI / ML Engineer,artificial intelligence solution engineer,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
AI / ML Engineer,engineer software artificial intelligence,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Engineer Software (AI)
AI / ML Engineer,artificial intelligence solutions engineer,Data & AI,reviewed_alias,MARKET_DERIVED,MALAYSIA_TITLE_REVIEW,APPROVED,"The plural of ""artificial intelligence solution engineer"", which is already approved for this role; normalisation does not fold plurals"
BI Analyst,business intelligence analyst,Data & AI,exact,MARKET_DERIVED,LEGACY,APPROVED,
BI Analyst,analyst business intelligence,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Analyst Business Intelligence
BI Analyst,executive business intelligence,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Executive Business Intelligence
BI Analyst,data analytic and business intelligence analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
BI Analyst,business intelligence and digital transformation analyst,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
BI Analyst,business intelligence developer,Data & AI,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Cloud Engineer,cloud engineer,Infrastructure & Cloud,exact,MARKET_DERIVED,LEGACY,APPROVED,
Cloud Engineer,cloud infrastructure engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Cloud Engineer,cloud operations and support engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Cloud Engineer,cloud platform engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
DevOps Engineer,devops engineer,Infrastructure & Cloud,exact,MARKET_DERIVED,LEGACY,APPROVED,
DevOps Engineer,site reliability engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
DevOps Engineer,platform engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Network Engineer,network engineer,Infrastructure & Cloud,exact,MARKET_DERIVED,LEGACY,APPROVED,
Network Engineer,information technology network engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Network Engineer,network operations centre engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Network Engineer,solution network engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Network Engineer,network support engineer maintenance,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Network Engineer,artificial intelligence data centre network engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
System Administrator,system administrator,Infrastructure & Cloud,exact,MARKET_DERIVED,LEGACY,APPROVED,
System Administrator,systems administrator,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
System Administrator,information technology systems administrator,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
System Administrator,information technology administrator and system administrator,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
System Administrator,linux administrator,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
System Administrator,windows server administrator,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Database Administrator,database administrator,Infrastructure & Cloud,exact,MARKET_DERIVED,LEGACY,APPROVED,
Database Administrator,database engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Infrastructure Engineer,infrastructure engineer,Infrastructure & Cloud,exact,MARKET_DERIVED,LEGACY,APPROVED,
Infrastructure Engineer,information technology system engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Server and network build/run work in every observed advert
Infrastructure Engineer,information technology systems engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Infrastructure Engineer,infrastructure support engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Infrastructure Engineer,information technology infrastructure support engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Infrastructure Engineer,information technology infrastructure operation engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Infrastructure Engineer,information technology operation support engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Infrastructure Engineer,linux unix infrastructure engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Infrastructure Engineer,system support engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Infrastructure Engineer,system operations engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Infrastructure Engineer,system engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,MALAYSIA_TITLE_REVIEW,APPROVED,"""information technology system engineer"" already maps here; the IT prefix does not change the job"
Data Centre Engineer,data centre engineer,Infrastructure & Cloud,exact,MARKET_DERIVED,LEGACY,APPROVED,
Data Centre Engineer,data centre technician,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Centre Engineer,data centre operation technician,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Centre Engineer,data centre information technology operations engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Centre Engineer,data centre asset management engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Data Centre Engineer,smart hands engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Data-centre industry term for on-site remote-hands work
Data Centre Engineer,data centre facility engineer,Infrastructure & Cloud,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Security Analyst,security analyst,Cybersecurity,exact,MARKET_DERIVED,LEGACY,APPROVED,
Security Analyst,cybersecurity analyst,Cybersecurity,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Security Analyst,information technology security analyst,Cybersecurity,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Security Analyst,information security analyst,Cybersecurity,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Security Analyst,iam governance analyst,Cybersecurity,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Identity and access governance is a security analyst function
Security Engineer,security engineer,Cybersecurity,exact,MARKET_DERIVED,LEGACY,APPROVED,
Security Engineer,cybersecurity engineer,Cybersecurity,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Security Engineer,network security engineer,Cybersecurity,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Security Engineer,information security engineer,Cybersecurity,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,information technology support,Operations & Support,exact,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,information technology support executive,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,information technology support specialist,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,information technology support engineer,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,End-user and site support in every observed advert
IT Support,information technology support technician,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,information technology support technical department,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,information technology support analyst,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,shift information technology support analyst,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,desktop information technology support engineer,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,desktop support engineer,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,end user support engineer,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,end user computing support technician,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,helpdesk support technician,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,helpdesk and information technology support specialist,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,helpdesk engineer,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,information technology service desk engineer,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,information technology system support,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,php information technology support specialist,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,mis information technology support officer,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Support,information technology helpdesk,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Technical Support Engineer,technical support engineer,Operations & Support,exact,MARKET_DERIVED,LEGACY,APPROVED,
Technical Support Engineer,technical support,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Technical Support Engineer,technical support executive,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Technical Support Engineer,l1 technical support executive,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Technical Support Engineer,client technical support analyst,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Technical Support Engineer,technical support specialist,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Technical Support Engineer,product support engineer,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Technician,information technology technician,Operations & Support,exact,MARKET_DERIVED,LEGACY,APPROVED,
IT Technician,information technology maintenance technician,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Technician,information technology technician infrastructure and systems,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Technician,information technology technician and library support,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Technician,computer technician,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,application support analyst,Operations & Support,exact,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,application support,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,application support engineer,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,application support specialist,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,application support executive,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,team lead application support,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,information technology application support middleware,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,information technology application support middleware esb api management,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,software support,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,software support hrms,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,software system support,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,production support analyst,Operations & Support,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Project Manager,information technology project manager,Business & Delivery,exact,MARKET_DERIVED,LEGACY,APPROVED,
IT Project Manager,project manager,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Every observed advert is an ICT delivery post
IT Project Manager,information technology project manger banking,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,Employer typo for IT Project Manager - Banking
IT Project Manager,saas pos project manager,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Project Manager,game business project manager,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Project Manager,project manager information technology helpdesk,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Project Manager,technical project manager,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Project Coordinator,information technology project coordinator,Business & Delivery,exact,MARKET_DERIVED,LEGACY,APPROVED,
IT Project Coordinator,project coordinator,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Project Coordinator,software project coordinator,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Project Coordinator,information technology solution coordinator,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
IT Project Coordinator,project management executive,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
ERP / SAP Consultant,sap consultant,Business & Delivery,exact,MARKET_DERIVED,LEGACY,APPROVED,
ERP / SAP Consultant,sap fico consultant,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
ERP / SAP Consultant,sap finance controlling consultant,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
ERP / SAP Consultant,sap pp consultant,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
ERP / SAP Consultant,sap pp functional consultant,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
ERP / SAP Consultant,specialist sap fico,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
ERP / SAP Consultant,sap system analyst,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
ERP / SAP Consultant,erp business consultant,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
ERP / SAP Consultant,erp consultant,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Solution Architect,solution architect,Business & Delivery,exact,MARKET_DERIVED,LEGACY,APPROVED,
Solution Architect,solutions architect,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Solution Architect,cloud solution architect,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Solution Architect,cloud architect,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Solution Architect,infra solution architect,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Solution Architect,solution lead architect,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Solution Architect,platform architect,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Solution Architect,enterprise architect,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Systems Analyst,systems analyst,Business & Delivery,exact,MARKET_DERIVED,LEGACY,APPROVED,
Systems Analyst,system analyst,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Systems Analyst,technical systems analyst,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Systems Analyst,programming systems analyst,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Systems Analyst,solution analyst,Business & Delivery,reviewed_alias,MARKET_DERIVED,LEGACY,APPROVED,
Application Support Analyst,information technology application support analyst,Operations & Support,reviewed_alias,MARKET_DERIVED,MALAYSIA_TITLE_REVIEW,APPROVED,department prefix removed; exact approved role
Product Manager,information technology product manager,Business & Delivery,reviewed_alias,IMDA_MARKET_EXTENSION,MALAYSIA_TITLE_REVIEW,APPROVED,department prefix removed; exact approved role
Software Engineer,information technology software engineer,Software & Applications,reviewed_alias,MARKET_DERIVED,MALAYSIA_TITLE_REVIEW,APPROVED,"department prefix 'IT' removed; the remainder is exactly an approved role. 2 adverts, 2 companies"
