hierarchy_id,track,subtrack,role_name,career_level,progression_order,is_cross_subtrack,source_page,source_url,source_publisher,source_retrieved,verification_status,notes
imda-data-and-artificial-intelligence-machine-learning-ml-engineering-head-of-data-science-and-ai,Data and Artificial Intelligence,Machine Learning (ML) Engineering,Head of Data Science and AI,HEAD,5,true,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-data-and-artificial-intelligence-machine-learning-ml-engineering-senior-ai-ml-engineer,Data and Artificial Intelligence,Machine Learning (ML) Engineering,Senior AI/ML Engineer,SENIOR,3,false,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-data-and-artificial-intelligence-machine-learning-ml-engineering-ai-ml-engineer,Data and Artificial Intelligence,Machine Learning (ML) Engineering,AI/ML Engineer,PROFESSIONAL,2,false,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-data-and-artificial-intelligence-data-science-ai-science-chief-data-officer-chief-ai-officer,Data and Artificial Intelligence,Data Science/AI Science,Chief Data Officer/Chief AI Officer,EXECUTIVE,6,true,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-data-and-artificial-intelligence-data-science-ai-science-head-of-data-science-and-ai,Data and Artificial Intelligence,Data Science/AI Science,Head of Data Science and AI,HEAD,5,true,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-data-and-artificial-intelligence-data-science-ai-science-data-scientist-ai-scientist,Data and Artificial Intelligence,Data Science/AI Science,Data Scientist/AI Scientist,PROFESSIONAL,2,false,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-data-and-artificial-intelligence-ai-applied-research-chief-data-officer-chief-ai-officer,Data and Artificial Intelligence,AI Applied Research,Chief Data Officer/Chief AI Officer,EXECUTIVE,6,true,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-data-and-artificial-intelligence-ai-applied-research-head-of-data-science-and-ai,Data and Artificial Intelligence,AI Applied Research,Head of Data Science and AI,HEAD,5,true,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-data-and-artificial-intelligence-ai-applied-research-ai-applied-researcher,Data and Artificial Intelligence,AI Applied Research,AI Applied Researcher,PROFESSIONAL,2,false,14,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-plan-and-design-chief-information-officer,Infrastructure,Plan and Design,Chief Information Officer,EXECUTIVE,6,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-plan-and-design-head-of-infrastructure,Infrastructure,Plan and Design,Head of Infrastructure,HEAD,5,true,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-infrastructure-plan-and-design-infrastructure-architect,Infrastructure,Plan and Design,Infrastructure Architect,ARCHITECT,4,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-build-and-maintain-chief-technology-officer,Infrastructure,Build and Maintain,Chief Technology Officer,EXECUTIVE,6,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-build-and-maintain-head-of-infrastructure,Infrastructure,Build and Maintain,Head of Infrastructure,HEAD,5,true,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-infrastructure-build-and-maintain-infrastructure-engineering-manager,Infrastructure,Build and Maintain,Infrastructure Engineering Manager,MANAGER,4,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-build-and-maintain-infrastructure-engineer,Infrastructure,Build and Maintain,Infrastructure Engineer,PROFESSIONAL,2,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-build-and-maintain-sysops-engineer,Infrastructure,Build and Maintain,SysOps Engineer,PROFESSIONAL,2,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-build-and-maintain-radio-frequency-engineer,Infrastructure,Build and Maintain,Radio Frequency Engineer,PROFESSIONAL,2,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-build-and-maintain-network-engineer,Infrastructure,Build and Maintain,Network Engineer,PROFESSIONAL,2,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-build-and-maintain-automation-and-orchestration-engineer,Infrastructure,Build and Maintain,Automation and Orchestration Engineer,PROFESSIONAL,2,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-build-and-maintain-associate-infrastructure-engineer,Infrastructure,Build and Maintain,Associate Infrastructure Engineer,ASSOCIATE,1,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-build-and-maintain-associate-radio-frequency-engineer,Infrastructure,Build and Maintain,Associate Radio Frequency Engineer,ASSOCIATE,1,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-infrastructure-build-and-maintain-associate-network-engineer,Infrastructure,Build and Maintain,Associate Network Engineer,ASSOCIATE,1,false,45,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-software-and-applications-software-engineering-chief-information-officer,Software and Applications,Software Engineering,Chief Information Officer,EXECUTIVE,6,true,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-software-and-applications-software-engineering-chief-technology-officer,Software and Applications,Software Engineering,Chief Technology Officer,EXECUTIVE,6,true,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-software-and-applications-software-engineering-head-of-software-engineering,Software and Applications,Software Engineering,Head of Software Engineering,HEAD,5,true,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-software-and-applications-software-engineering-software-architect,Software and Applications,Software Engineering,Software Architect,ARCHITECT,4,false,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-software-and-applications-software-engineering-software-engineering-manager,Software and Applications,Software Engineering,Software Engineering Manager,MANAGER,4,false,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-software-and-applications-software-engineering-devops-engineer,Software and Applications,Software Engineering,DevOps Engineer,PROFESSIONAL,2,false,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-software-and-applications-software-engineering-software-engineer,Software and Applications,Software Engineering,Software Engineer,PROFESSIONAL,2,false,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-software-and-applications-software-engineering-associate-software-engineer,Software and Applications,Software Engineering,Associate Software Engineer,ASSOCIATE,1,false,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-software-and-applications-embedded-systems-engineering-chief-information-officer,Software and Applications,Embedded Systems Engineering,Chief Information Officer,EXECUTIVE,6,true,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-software-and-applications-embedded-systems-engineering-chief-technology-officer,Software and Applications,Embedded Systems Engineering,Chief Technology Officer,EXECUTIVE,6,true,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-software-and-applications-embedded-systems-engineering-head-of-software-engineering,Software and Applications,Embedded Systems Engineering,Head of Software Engineering,HEAD,5,true,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-software-and-applications-embedded-systems-engineering-embedded-systems-engineering-manager,Software and Applications,Embedded Systems Engineering,Embedded Systems Engineering Manager,MANAGER,4,false,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-software-and-applications-embedded-systems-engineering-embedded-systems-engineer,Software and Applications,Embedded Systems Engineering,Embedded Systems Engineer,PROFESSIONAL,2,false,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-software-and-applications-embedded-systems-engineering-associate-embedded-systems-engineer,Software and Applications,Embedded Systems Engineering,Associate Embedded Systems Engineer,ASSOCIATE,1,false,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-software-and-applications-user-interface-design-chief-information-officer,Software and Applications,User Interface Design,Chief Information Officer,EXECUTIVE,6,true,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-software-and-applications-user-interface-design-chief-technology-officer,Software and Applications,User Interface Design,Chief Technology Officer,EXECUTIVE,6,true,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-software-and-applications-user-interface-design-head-of-software-engineering,Software and Applications,User Interface Design,Head of Software Engineering,HEAD,5,true,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-software-and-applications-user-interface-design-lead-ui-designer,Software and Applications,User Interface Design,Lead UI Designer,LEAD,4,false,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-software-and-applications-user-interface-design-ui-designer,Software and Applications,User Interface Design,UI Designer,PROFESSIONAL,2,false,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-software-and-applications-user-interface-design-associate-ui-designer,Software and Applications,User Interface Design,Associate UI Designer,ASSOCIATE,1,false,79,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-operations-and-support-infrastructure-support-chief-information-officer,Operations and Support,Infrastructure Support,Chief Information Officer,EXECUTIVE,6,true,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-operations-and-support-infrastructure-support-head-of-operations-and-support,Operations and Support,Infrastructure Support,Head of Operations and Support,HEAD,5,true,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-operations-and-support-infrastructure-support-operations-and-support-manager,Operations and Support,Infrastructure Support,Operations and Support Manager,MANAGER,4,true,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-operations-and-support-infrastructure-support-infrastructure-support-engineer,Operations and Support,Infrastructure Support,Infrastructure Support Engineer,PROFESSIONAL,2,false,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-operations-and-support-infrastructure-support-associate-infrastructure-support-engineer,Operations and Support,Infrastructure Support,Associate Infrastructure Support Engineer,ASSOCIATE,1,false,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-operations-and-support-systems-support-chief-information-officer,Operations and Support,Systems Support,Chief Information Officer,EXECUTIVE,6,true,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-operations-and-support-systems-support-head-of-operations-and-support,Operations and Support,Systems Support,Head of Operations and Support,HEAD,5,true,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-operations-and-support-systems-support-operations-and-support-manager,Operations and Support,Systems Support,Operations and Support Manager,MANAGER,4,true,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-operations-and-support-systems-support-systems-support-engineer,Operations and Support,Systems Support,Systems Support Engineer,PROFESSIONAL,2,false,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-operations-and-support-systems-support-associate-systems-support-engineer,Operations and Support,Systems Support,Associate Systems Support Engineer,ASSOCIATE,1,false,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-operations-and-support-database-support-chief-information-officer,Operations and Support,Database Support,Chief Information Officer,EXECUTIVE,6,true,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-operations-and-support-database-support-head-of-operations-and-support,Operations and Support,Database Support,Head of Operations and Support,HEAD,5,true,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-operations-and-support-database-support-operations-and-support-manager,Operations and Support,Database Support,Operations and Support Manager,MANAGER,4,true,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-operations-and-support-database-support-database-support-engineer,Operations and Support,Database Support,Database Support Engineer,PROFESSIONAL,2,false,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-operations-and-support-database-support-associate-database-support-engineer,Operations and Support,Database Support,Associate Database Support Engineer,ASSOCIATE,1,false,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,
imda-operations-and-support-data-centre-and-operations-centre-support-chief-information-officer,Operations and Support,Data Centre and Operations Centre Support,Chief Information Officer,EXECUTIVE,6,true,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
imda-operations-and-support-data-centre-and-operations-centre-support-head-of-operations-and-support,Operations and Support,Data Centre and Operations Centre Support,Head of Operations and Support,HEAD,5,true,117,https://www.imda.gov.sg/-/media/imda/images/programmes/skills-framework-for-ict/consolidated-career-maps.pdf,Infocomm Media Development Authority (IMDA) and SkillsFuture Singapore,2026-08-18,REVIEWED_FROM_MASTER_DIAGRAM,Role is visually shown spanning multiple sub-tracks on the master page.
